,Name,Price,County,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Battery Range (up to)
385,Citroen C3 Aircross 1.2 Feel Puretech 82,"€18,950",Kildare,Citroen,C3 Aircross,Feel,Medium Trim,2019,"21,000 km",Petrol,Manual,MPV,1.2 litre,82hp,14.1 sec,5,4,Grey,Ireland,2,200,Jul 2023,5/5,Available,,
386,Hyundai Tucson Executive 1.6 Diesel With 107 000,"€28,950",Offaly,Hyundai,Tucson,Executive,Medium Trim,2019,"107,596 km",Diesel,Manual,SUV,1.6 litre,115hp,11.8 sec,5,5,Silver,Ireland,1,270,Feb 2023,5/5,2 Year,,
387,"Audi A3, ONLY 100k KM, S-Line, Automatic,","€14,950","Tullamore, Offaly",Audi,A3,SPORT,Sports Trim,2013,"100,100 km",Diesel,Automatic,Hatchback,1.6 litre,105hp,10.9 sec,5,4,Red,Ireland,2,190,Nov 2023,5/5,,,
388,"Mercedes-Benz C-Class,220Cdi 2013","€14,999",Dublin,Mercedes-Benz,C-Class,Avantgarde,Sports Trim,2013,"92,000 km",Diesel,Automatic,Saloon,2.1 litre,170hp,8.1 sec,5,4,Black,Ireland,---,270,Jul 2023,---,3 Month,,
389,Mazda 3 1.5p 4DR (100ps) Executive,No Price,Waterford,Mazda,3,EXECUTIVE,Base Trim,2015,"82,846 km",Petrol,Manual,Saloon,1.5 litre,100hp,10.5 sec,5,4,Grey,Ireland,1,200,Nov 2023,5/5,Available,,
390,Skoda Octavia 1.2 TSI 105BHP Ambition,"€11,950",Kerry,Skoda,Octavia,Ambition,Medium Trim,2014,"108,421 km",Petrol,Manual,Saloon,1.2 litre,105hp,10.3 sec,5,4,Silver,Ireland,2,200,Nov 2022,5/5,Available,,
391,Dacia Duster 1.5 dCi 110 Signature,"€12,250",Kerry,Dacia,Duster,SIGNATURE,Medium Trim,2016,"104,000 km",Diesel,Manual,SUV,1.5 litre,110hp,11.8 sec,5,4,Grey,Ireland,4,200,Jul 2024,3/5,Available,,
392,Skoda Fabia Combi 1.0 TSI 95 BHP Ambition,"€14,950",Kerry,Skoda,Fabia,AMBITION,Medium Trim,2018,"60,000 km",Petrol,Manual,Estate,1.0 litre,95hp,10.8 sec,5,4,Grey,Ireland,1,190,Aug 2022,5/5,Available,,
393,BMW 120D,"€7,750",Cork,BMW,1-Series,Sport,Sports Trim,2012,"160,000 mi",Diesel,Manual,Hatchback,2.0 litre,184hp,7.2 sec,5,5,Blue,Ireland,1,270,Aug 2024,5/5,,,
394,Peugeot 308 S 1.6 HDI Diesel 2010,"€2,800","Drogheda, Louth",Peugeot,308,,,2010,"122,500 mi",Diesel,Manual,Hatchback,1.6 litre,,,5,5,Grey,Ireland,3,200,Jan 2023,,,,
395,Skoda Fabia 1.0 MPI 75 BHP Ambition  with Black R,"€16,000",Kerry,Skoda,Fabia,AMBITION,Medium Trim,2019,"72,000 km",Petrol,Manual,Hatchback,1.0 litre,75hp,14.7 sec,5,4,White,Ireland,1,200,Feb 2023,5/5,Available,,
396,Stunning Laser White 172 Skoda Superb Sportline,"€25,999","Mallow, Cork",Skoda,Superb,Sportline,Sports Trim,2017,"119,000 km",Diesel,Manual,Hatchback,2.0 litre,150hp,8.8 sec,5,5,White,Ireland,---,200,Sep 2023,5/5,,,
397,LAND ROVER Discovery Sport 2017,"€33,950","North County, Dublin",LAND ROVER,Discovery Sport,S,Base Trim,2017,"78,200 km",Diesel,Automatic,SUV,2.0 litre,150hp,10.3 sec,7,5,Black,Ireland,---,280,Mar 2023,5/5,,,
398,AUDI A3 S-LINE SPORTSBACK,"€16,995",Cork,Audi,A3,S LINE,Sports Trim,2014,"113,000 mi",Diesel,Manual,Hatchback,1.6 litre,105hp,10.9 sec,5,5,Red,Ireland,---,170,Feb 2023,5/5,Available,,
399,2010 Audi A3 1.6 Tdi Sportback Nct 11/23,"€5,950",Dublin,Audi,A3,,,2010,"140,000 mi",Diesel,Manual,Hatchback,1.6 litre,,,5,5,Red,Ireland,3,190,Nov 2023,,3 Month,,
